ID_REF,GSM41252,GSM41253,GSM41254,GSM41255,GSM41256,GSM41257,GSM41258,GSM41259,GSM41260,GSM41264,GSM41265,GSM41266,GSM41279,GSM41280,GSM41281,GSM41785,GSM41786,GSM41787,GSM41788,GSM41789,GSM41790,GSM41791,GSM41792,GSM41793,GSM41797,GSM41798,GSM41799,GSM41811,GSM41812,GSM41813
YAL026C,-0.0722252,-0.126087,0.228262,-0.250067,-0.0151329,-0.309554,-0.239356,-0.284838,-0.310309,-0.154035,-0.137541,-0.00495284,-0.0337286,-0.090359,-0.136326,-0.27911,-0.198653,-0.116068,-0.186712,0.0591403,0.073376,0.030468,-0.273398,0.0203492,-0.0210014,-0.195131,-0.0576379,-0.0475419,-0.15666,-0.172484
YAL027W,-0.300092,-0.180233,-0.085313,0.0519574,0.2761,0.0854419,0.0765933,0.31389,0.350957,0.108585,0.299147,0.0259422,-0.39067,-0.519812,-0.639986,-0.077967,-0.0657903,0.0270718,0.100869,-0.113019,0.0183224,-0.00458603,-0.176778,-0.125807,-0.0329209,0.166558,0.292247,-0.230821,-0.294447,-0.130369
YAL028W,-1.22608,-1.67407,-1.96528,-0.914346,-0.6487,-0.748645,0.510553,0.265892,0.205977,-0.0775883,-0.116774,-0.0804629,0.467046,0.283165,0.301883,-1.0859,-1.13486,-0.898475,-1.5463,-1.52592,-1.40897,-1.28648,-1.33597,-1.39894,-0.630011,-0.428245,-0.57389,0.720915,1.00707,0.859929
YAL029C,-0.209126,-0.188774,-0.105235,-0.183378,-0.500942,-0.0924115,-0.570161,-0.356771,-0.227346,-0.203372,-0.0424993,-0.230868,0.10973,0.25571,0.238213,-0.381261,-0.0587531,-0.405077,-0.0958728,-0.0576991,0.148497,-0.0308931,-0.299886,0.0545257,0.0227791,0.0205229,-0.0375845,0.00422113,-0.061597,-0.00592825
YAL030W,-0.191137,-0.123867,0.361774,-0.158365,0.37522,0.0802147,0.343824,0.389792,0.425887,0.366904,0.26244,0.587848,0.0642459,-0.12654,-0.187646,-0.082199,0.0295449,0.408213,0.0420922,0.0173015,0.0837401,0.085332,0.0562125,-0.109823,-0.139201,-0.0375261,-0.286416,-0.149567,-0.0417602,0.233588
YAL031C,-0.136546,-0.190987,-0.466646,0.0277363,-0.346346,-0.100788,0.331523,0.408012,0.32027,0.0448389,-0.243684,-0.297957,-0.326507,-0.272685,-0.331781,-0.163225,0.0037332,0.0334402,-0.342852,-0.208318,-0.133462,-0.241768,-0.434484,-0.328489,-0.113564,0.177859,0.137651,0.172699,0.0202622,-0.0253265
YAL032C,-0.203578,-0.0351932,0.139186,-0.220941,-0.0409077,-0.013858,0.0996958,0.0491192,0.0679065,-0.103164,-0.250659,-0.0620007,0.0981124,-0.039287,-0.13507,-0.184449,-0.0226999,-0.116443,0.0721403,0.0274372,-0.218176,0.116341,-0.0807644,-0.111999,-0.314222,-0.137148,-0.393765,-0.158222,-0.0450756,-0.0650065
YAL033W,-0.086511,0.150516,0.266958,0.215213,0.137611,0.348659,-0.142001,0.3444,0.344157,-0.300654,-0.123113,-0.24944,0.135846,0.22158,0.0381254,0.142151,-0.00726838,0.06338,0.30643,0.152128,0.139168,0.356279,0.275005,0.22034,0.0607098,0.0885612,0.00893927,-0.245902,-0.243284,-0.0963083
YAL034C,0.11313,-0.412762,-0.541431,0.680932,0.566525,0.0917038,1.19072,0.790777,0.667956,0.069996,-0.036749,0.173139,-0.362252,-0.501719,-0.242063,0.285028,0.0495764,-0.190927,-0.367508,-0.0912167,-0.706558,-0.371618,-0.466469,-0.196116,0.0280681,-0.13782,-0.267791,0.241281,0.358155,0.00989809
YAL034W-A,-0.226811,-0.402661,-0.202324,-0.313974,-0.144026,-0.033316,0.160612,-0.329157,-0.0484507,-0.489489,0.643635,0.0673298,-0.302266,-0.04202,-0.0805932,-0.326237,-0.397035,-0.254454,-0.105706,0.0164736,0.223308,-0.111782,0.156571,-0.192676,-0.0494742,0.103278,-0.113576,0.026164,-0.0344505,-0.198814
